Review_ID,Product_Name,Category,Brand,Price,Rating,Review_Text,Review_Date,Verified_Purchase,Helpful_Votes,Review_Length,Discount_Percentage
1,PS5,Gaming,Samsung,37206.75,3,It's decent. Nothing special but works fine. Cell Mrs far week science with down never issue agent method.,2023-04-15,True,456,106,50
2,Refrigerator,Electronics,Lenovo,2073.24,2,Broken on arrival. Very upset. But course act speech always his chance culture.,2024-06-01,True,287,79,15
3,Gaming Headset,Gaming,Lenovo,11411.81,4,Amazing product! Exceeded my expectations. Highly recommend! Agency television heart condition person building attention high develop traditional husband.,2023-06-13,True,174,154,20
4,iPhone 13,Smartphones,HP,5559.41,4,Superb product. Great customer service too. Various so brother authority next central claim such after since attack herself.,2023-12-19,True,413,124,0
5,Mechanical Keyboard,Gaming,OnePlus,6678.9,5,Great quality and fast delivery. Very satisfied. Car shake imagine state remain deal both world.,2023-10-28,True,316,96,25
6,Phone Case,Accessories,Apple,2768.31,3,Satisfactory. Met my expectations. Type treat down woman mention day.,2023-03-23,False,12,69,30
7,XPS 13,Laptops,HP,8551.38,4,Outstanding quality! Will definitely buy again. Fish sense somebody gun blood here law.,2023-03-15,True,87,87,50
8,Xbox Series X,Gaming,Sony,23381.88,3,Standard product. Does the job. Action several wind the challenge significant laugh sense analysis.,2023-08-13,True,431,99,0
9,Galaxy S21,Smartphones,HP,20357.66,2,Total waste of money. Would give 0 stars if possible. East mission fly still hear mouth price air gun will year.,2023-11-19,True,255,112,30
10,Mechanical Keyboard,Gaming,Sony,13611.57,3,Standard product. Does the job. Never defense actually establish key under sport tend open voice goal.,2023-09-27,True,219,102,30
11,MacBook Pro,Laptops,Sony,25721.55,2,Disappointing. Not as described. Later our born always professional drug share natural.,2023-04-23,True,81,87,30
12,USB Cable,Accessories,Lenovo,19390.15,5,Perfect purchase. Very impressed with the quality. Young author she voice discuss defense energy newspaper.,2023-09-15,False,1,107,5
13,Gaming Headset,Gaming,Dell,38545.64,4,Outstanding quality! Will definitely buy again. Dark large democratic cell political letter school those deep.,2024-03-21,True,1,110,20
14,Phone Case,Accessories,OnePlus,45675.08,5,Outstanding quality! Will definitely buy again. Side either process save often amount election note decision happen.,2024-06-03,True,78,116,25
15,Smart Bulb,Smart Home,OnePlus,47698.24,5,Amazing product! Exceeded my expectations. Highly recommend! Usually cost question Mrs organization action thus mention public behavior season her eight.,2023-11-28,True,57,153,25
16,Smart Lock,Smart Home,LG,3367.3,5,Great quality and fast delivery. Very satisfied. Various draw listen enough single medical able evidence.,2023-03-29,True,417,105,5
